NACA 63A-015
1.00000000 0.00000000
0.99661261 0.00162731
0.99105527 0.00265872
0.98373077 0.00365536
0.97468999 0.00473609
0.96397668 0.00599137
0.95163992 0.00751625
0.93773649 0.00940899
0.92231785 0.01167466
0.90543044 0.01425087
0.88711803 0.01703060
0.86743730 0.01995943
0.84645994 0.02305050
0.82426546 0.02633971
0.80092964 0.02980841
0.77653176 0.03343449
0.75115570 0.03720159
0.72489063 0.04110547
0.69782046 0.04508518
0.67003064 0.04906926
0.64160855 0.05297779
0.61264732 0.05675010
0.58324220 0.06032048
0.55349167 0.06362703
0.52349793 0.06662033
0.49336403 0.06923818
0.46319633 0.07143179
0.43310225 0.07314147
0.40319202 0.07432013
0.37357733 0.07491787
0.34437181 0.07493838
0.31568767 0.07440070
0.28763542 0.07330897
0.26032342 0.07167666
0.23385185 0.06959530
0.20831844 0.06711337
0.18382009 0.06424686
0.16045069 0.06101527
0.13829863 0.05745469
0.11745038 0.05359069
0.09798856 0.04945296
0.07999586 0.04505901
0.06355508 0.04042330
0.04874532 0.03557551
0.03564931 0.03054221
0.02436620 0.02533251
0.01502254 0.01995257
0.00776942 0.01446142
0.00284567 0.00897669
0.00051211 0.00385192
0.00000000 0.00000000
0.00051211 -0.00385192
0.00284567 -0.00897669
0.00776942 -0.01446142
0.01502254 -0.01995257
0.02436620 -0.02533251
0.03564931 -0.03054221
0.04874532 -0.03557551
0.06355508 -0.04042330
0.07999586 -0.04505901
0.09798856 -0.04945296
0.11745038 -0.05359069
0.13829863 -0.05745469
0.16045069 -0.06101527
0.18382009 -0.06424686
0.20831844 -0.06711337
0.23385185 -0.06959530
0.26032342 -0.07167666
0.28763542 -0.07330897
0.31568767 -0.07440070
0.34437181 -0.07493838
0.37357733 -0.07491787
0.40319202 -0.07432013
0.43310225 -0.07314147
0.46319633 -0.07143179
0.49336403 -0.06923818
0.52349793 -0.06662033
0.55349167 -0.06362703
0.58324220 -0.06032048
0.61264732 -0.05675010
0.64160855 -0.05297779
0.67003064 -0.04906926
0.69782046 -0.04508518
0.72489063 -0.04110547
0.75115570 -0.03720159
0.77653176 -0.03343449
0.80092964 -0.02980841
0.82426546 -0.02633971
0.84645994 -0.02305050
0.86743730 -0.01995943
0.88711803 -0.01703060
0.90543044 -0.01425087
0.92231785 -0.01167466
0.93773649 -0.00940899
0.95163992 -0.00751625
0.96397668 -0.00599137
0.97468999 -0.00473609
0.98373077 -0.00365536
0.99105527 -0.00265872
0.99661261 -0.00162731
1.00000000 0.00000000

