NACA 63-210
1.00000000 0.00000000
0.99616388 0.00044655
0.99058840 0.00102479
0.98329731 0.00177009
0.97431787 0.00269947
0.96368293 0.00382635
0.95143162 0.00516778
0.93760807 0.00673337
0.92226212 0.00853332
0.90544829 0.01057129
0.88722458 0.01283689
0.86765465 0.01532568
0.84680490 0.01801751
0.82474735 0.02090128
0.80155588 0.02394791
0.77730759 0.02712260
0.75208287 0.03038681
0.72596495 0.03369684
0.69904048 0.03700934
0.67139846 0.04027447
0.64313124 0.04344582
0.61433325 0.04647107
0.58510226 0.04930588
0.55553824 0.05190584
0.52574370 0.05423383
0.49582237 0.05624937
0.46587898 0.05790457
0.43602037 0.05916672
0.40635403 0.05999761
0.37698847 0.06037061
0.34803237 0.06028755
0.31959310 0.05975191
0.29177587 0.05878643
0.26468265 0.05742822
0.23841105 0.05572681
0.21305693 0.05370213
0.18871345 0.05136950
0.16546876 0.04876219
0.14340854 0.04590085
0.12261249 0.04282346
0.10315767 0.03955650
0.08511819 0.03612138
0.06856525 0.03253767
0.05356941 0.02881715
0.04019912 0.02497613
0.02850965 0.02107419
0.01856253 0.01715123
0.01048127 0.01313792
0.00449550 0.00892901
0.00094374 0.00462800
-0.00008269 0.00094031
0.00089758 -0.00274685
0.00453880 -0.00691603
0.01083600 -0.01056393
0.01924990 -0.01369777
0.02949969 -0.01655645
0.04145383 -0.01929516
0.05504700 -0.02191678
0.07022362 -0.02438212
0.08691846 -0.02669439
0.10506402 -0.02886097
0.12459162 -0.03087696
0.14542930 -0.03273492
0.16750196 -0.03442017
0.19073129 -0.03590547
0.21503401 -0.03717977
0.24032386 -0.03821854
0.26651040 -0.03901454
0.29350036 -0.03955434
0.32119797 -0.03979477
0.34950385 -0.03970341
0.37831592 -0.03926260
0.40753038 -0.03847273
0.43704214 -0.03733536
0.46674642 -0.03587914
0.49653918 -0.03414351
0.52631662 -0.03216199
0.55597663 -0.02998213
0.58541763 -0.02764314
0.61453885 -0.02517924
0.64324176 -0.02263319
0.67142941 -0.02004540
0.69900763 -0.01746383
0.72588389 -0.01492947
0.75196857 -0.01248757
0.77717382 -0.01017320
0.80141490 -0.00802346
0.82460955 -0.00606856
0.84667850 -0.00433428
0.86754550 -0.00283975
0.88713686 -0.00158503
0.90538372 -0.00057854
0.92222071 0.00018769
0.93758748 0.00071708
0.95142813 0.00102876
0.96369202 0.00114878
0.97433429 0.00110511
0.98331605 0.00093430
0.99060462 0.00067114
0.99617358 0.00035409
1.00000000 0.00000000
