NACA 63A-415
1.00000000 0.00000000
0.99674511 0.00196086
0.99125334 0.00353898
0.98398090 0.00525762
0.97499033 0.00723112
0.96433438 0.00954577
0.95207191 0.01229304
0.93826942 0.01556483
0.92297861 0.01935885
0.90623976 0.02360664
0.88807366 0.02814513
0.86852392 0.03287955
0.84769148 0.03792843
0.82563082 0.04320091
0.80238004 0.04851246
0.77798548 0.05367686
0.75255900 0.05878422
0.72619923 0.06385804
0.69899341 0.06884988
0.67102895 0.07369188
0.64239562 0.07830709
0.61318983 0.08263569
0.58351048 0.08661223
0.55346034 0.09017492
0.52314662 0.09327549
0.49267774 0.09585250
0.46216606 0.09785941
0.43172560 0.09923921
0.40147364 0.09994779
0.37152954 0.09994069
0.34201376 0.09922828
0.31304484 0.09783550
0.28473986 0.09577394
0.25721320 0.09306704
0.23056778 0.08981486
0.20490488 0.08607615
0.18032599 0.08187865
0.15692921 0.07725486
0.13480584 0.07225531
0.11404544 0.06692128
0.09473283 0.06130050
0.07695346 0.05542989
0.06079124 0.04934953
0.04632415 0.04311594
0.03363003 0.03679016
0.02279635 0.03042829
0.01392580 0.02409392
0.00711783 0.01790885
0.00243213 0.01210081
0.00005264 0.00692427
-0.00051537 0.00303900
0.00028048 -0.00071775
0.00279428 -0.00572291
0.00788955 -0.01096446
0.01557525 -0.01571010
0.02535343 -0.02007135
0.03702988 -0.02406893
0.05046526 -0.02775922
0.06555565 -0.03118900
0.08221966 -0.03436335
0.10038074 -0.03727645
0.11995957 -0.03993906
0.14087768 -0.04234910
0.16305526 -0.04449335
0.18640912 -0.04636017
0.21085356 -0.04792680
0.23629845 -0.04918575
0.26265084 -0.05012937
0.28981557 -0.05072012
0.31769412 -0.05087508
0.34618304 -0.05058564
0.37517700 -0.04985534
0.40456862 -0.04867106
0.43424954 -0.04703410
0.46411402 -0.04499962
0.49405721 -0.04261846
0.52397650 -0.03995340
0.55376977 -0.03705625
0.58333747 -0.03399051
0.61258058 -0.03080843
0.64140294 -0.02757286
0.66971081 -0.02435082
0.69741214 -0.02120585
0.72441938 -0.01822375
0.75064558 -0.01547943
0.77600565 -0.01305037
0.80041219 -0.01097460
0.82378650 -0.00938343
0.84603087 -0.00810251
0.86705715 -0.00696899
0.88678503 -0.00585195
0.90515133 -0.00484769
0.92209203 -0.00395301
0.93755107 -0.00322581
0.95147625 -0.00271997
0.96381707 -0.00242102
0.97452708 -0.00222553
0.98356711 -0.00203719
0.99090272 -0.00176289
0.99649507 -0.00128159
1.00000000 0.00000000
