NACA 07-610
1.00000000 0.00000000
0.99920430 0.00063589
0.99640177 0.00221974
0.99170685 0.00460735
0.98511018 0.00769220
0.97661872 0.01137816
0.96625111 0.01557127
0.95403620 0.02017711
0.94001239 0.02510020
0.92422718 0.03024461
0.90673687 0.03551501
0.88760624 0.04081818
0.86690812 0.04606448
0.84472309 0.05116956
0.82113892 0.05605584
0.79625014 0.06065392
0.77015744 0.06490380
0.74296710 0.06875581
0.71479032 0.07217126
0.68574259 0.07512286
0.65594300 0.07759471
0.62551354 0.07958206
0.59457840 0.08109073
0.56326332 0.08213626
0.53169491 0.08274283
0.50000000 0.08294195
0.46830448 0.08286466
0.43673303 0.08247939
0.40541046 0.08176565
0.37446105 0.08070900
0.34400802 0.07929857
0.31417304 0.07752748
0.28507566 0.07539321
0.25683283 0.07289789
0.22955837 0.07004850
0.20336250 0.06685692
0.17835133 0.06333997
0.15462645 0.05951929
0.13228453 0.05542117
0.11141692 0.05107628
0.09210937 0.04651944
0.07444178 0.04178928
0.05848805 0.03692798
0.04431604 0.03198115
0.03198775 0.02699781
0.02155975 0.02203085
0.01308425 0.01713803
0.00661129 0.01238449
0.00219432 0.00784848
-0.00009203 0.00363767
0.00000000 0.00000000
0.00206530 -0.00289078
0.00569098 -0.00538739
0.01110146 -0.00754371
0.01833259 -0.00941766
0.02738373 -0.01105059
0.03823577 -0.01247280
0.05085691 -0.01370684
0.06520527 -0.01476971
0.08123030 -0.01567438
0.09887364 -0.01643108
0.11806984 -0.01704823
0.13874685 -0.01753336
0.16082644 -0.01789382
0.18422469 -0.01813739
0.20885225 -0.01827282
0.23461483 -0.01831022
0.26141350 -0.01826132
0.28914505 -0.01813969
0.31770241 -0.01796077
0.34697498 -0.01774183
0.37684907 -0.01750175
0.40720823 -0.01726082
0.43793374 -0.01704033
0.46890500 -0.01686216
0.50000000 -0.01675127
0.53109561 -0.01674071
0.56206991 -0.01669796
0.59280291 -0.01658703
0.62317635 -0.01637630
0.65307399 -0.01603981
0.68238196 -0.01555833
0.71098897 -0.01492022
0.73878658 -0.01412199
0.76566935 -0.01316853
0.79153511 -0.01207304
0.81628507 -0.01085664
0.83982402 -0.00954758
0.86206050 -0.00818023
0.88290701 -0.00679370
0.90228012 -0.00543018
0.92010075 -0.00413315
0.93629429 -0.00294521
0.95079085 -0.00190589
0.96352538 -0.00104909
0.97443780 -0.00040042
0.98347298 0.00002600
0.99058040 0.00023167
0.99571293 0.00024003
0.99882243 0.00011026
1.00000000 0.00000000
