  
       XFOIL         Version 6.99
  
 Calculated polar for: S1210 12%                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.2630   0.14603   0.14134  -0.0341   1.0000   0.0644
  -9.000  -0.2261   0.12897   0.12446  -0.0277   1.0000   0.0727
  -8.000  -0.2643   0.12761   0.12348  -0.0249   1.0000   0.0813
  -7.000  -0.2192   0.11355   0.10957  -0.0284   0.9907   0.0887
  -6.000  -0.1359   0.09898   0.09502  -0.0514   0.9563   0.1056
  -5.000  -0.0639   0.08556   0.08164  -0.0658   0.9082   0.1266
  -4.000   0.0417   0.07027   0.06632  -0.0889   0.8648   0.1652
  -3.000   0.4944   0.02236   0.01509  -0.2078   0.8630   0.0739
  -2.000   0.6895   0.02183   0.01530  -0.2181   0.8177   0.3907
  -1.000   0.8628   0.02074   0.01321  -0.2302   0.7572   0.4388
   0.000   1.0122   0.02073   0.01235  -0.2385   0.7095   0.4692
   1.000   1.1323   0.02160   0.01304  -0.2406   0.6733   0.5043
   2.000   1.2530   0.02284   0.01422  -0.2427   0.6451   0.5599
   3.000   1.3642   0.02435   0.01598  -0.2426   0.6201   0.6595
   4.000   1.4419   0.02530   0.01754  -0.2352   0.5935   1.0000
   5.000   1.5512   0.02779   0.02001  -0.2356   0.5639   1.0000
   6.000   1.6617   0.02916   0.02126  -0.2345   0.5304   1.0000
   7.000   1.7512   0.03056   0.02295  -0.2297   0.4907   1.0000
   8.000   1.8385   0.03146   0.02405  -0.2241   0.4465   1.0000
   9.000   1.9041   0.03270   0.02564  -0.2148   0.3925   1.0000
  10.000   1.9188   0.03559   0.02875  -0.1975   0.3222   1.0000
  11.000   1.9160   0.04274   0.03558  -0.1812   0.2576   1.0000
  12.000   1.9483   0.05130   0.04397  -0.1725   0.2138   1.0000
  13.000   1.9706   0.06099   0.05425  -0.1647   0.1881   1.0000
  14.000   1.9971   0.07160   0.06546  -0.1591   0.1700   1.0000
  15.000   2.0108   0.08373   0.07823  -0.1545   0.1541   1.0000
  16.000   1.9160   0.10753   0.10337  -0.1546   0.1464   1.0000
  17.000   1.8734   0.12873   0.12521  -0.1600   0.1350   1.0000
  18.000   1.4532   0.27321   0.26990  -0.2561   0.1771   1.0000
  19.000   1.4781   0.28799   0.28487  -0.2651   0.1577   1.0000
  20.000   1.5074   0.30285   0.29993  -0.2729   0.1381   1.0000
  21.000   1.5390   0.31852   0.31582  -0.2801   0.1190   1.0000
  22.000   1.5729   0.34025   0.33774  -0.2861   0.1002   1.0000
  23.000   1.5752   0.34522   0.34266  -0.3054   0.0823   1.0000
  24.000   1.5938   0.35787   0.35527  -0.3199   0.0621   1.0000
  25.000   1.6372   0.38222   0.37978  -0.3204   0.0548   1.0000
