  
       XFOIL         Version 6.99
  
 Calculated polar for: S1210 12%                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.200 (top)        0.200 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1485   0.07067   0.06194  -0.1050   0.2000   0.1508
  -4.000   0.1858   0.06201   0.05344  -0.1100   0.2000   0.1764
  -3.000   0.5351   0.02315   0.01122  -0.2086   0.2000   0.0581
  -2.000   0.7095   0.02056   0.00799  -0.2216   0.2000   0.2000
  -1.000   0.8257   0.02089   0.00773  -0.2220   0.2000   0.2000
   0.000   0.9386   0.02142   0.00787  -0.2219   0.2000   0.2000
   1.000   1.0481   0.02212   0.00839  -0.2212   0.2000   0.2000
   2.000   1.1539   0.02298   0.00931  -0.2199   0.2000   0.2000
   3.000   1.2556   0.02400   0.01039  -0.2179   0.2000   0.2000
   4.000   1.3529   0.02520   0.01176  -0.2153   0.2000   0.2000
   5.000   1.4446   0.02661   0.01361  -0.2117   0.2000   0.2000
   6.000   1.5274   0.02828   0.01568  -0.2067   0.2000   0.2000
   7.000   1.6011   0.03036   0.01825  -0.2004   0.2000   0.2000
   8.000   1.6665   0.03300   0.02172  -0.1932   0.2000   0.2000
   9.000   1.7213   0.03647   0.02593  -0.1853   0.2000   0.2000
  10.000   1.7622   0.04120   0.03149  -0.1767   0.2000   0.2000
  11.000   1.7895   0.04773   0.03902  -0.1685   0.2000   0.2000
  12.000   1.8139   0.05549   0.04764  -0.1613   0.2000   0.2000
  13.000   1.8979   0.06074   0.05342  -0.1559   0.1936   0.2000
  14.000   1.8984   0.07245   0.06590  -0.1495   0.1761   0.2000
  15.000   1.8844   0.08474   0.07873  -0.1455   0.1570   0.2000
