  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3202   0.00677   0.00189  -0.0527   0.8310   0.0507
  -4.000  -0.2081   0.00638   0.00146  -0.0525   0.7776   0.0761
  -3.000  -0.0956   0.00607   0.00114  -0.0525   0.7168   0.1185
  -2.000   0.0170   0.00582   0.00093  -0.0525   0.6523   0.1842
  -1.000   0.1297   0.00563   0.00082  -0.0526   0.5878   0.2745
   0.000   0.2423   0.00547   0.00080  -0.0527   0.5277   0.3934
   1.000   0.3540   0.00519   0.00087  -0.0528   0.4750   0.5808
   2.000   0.4655   0.00508   0.00104  -0.0526   0.4262   0.7451
   3.000   0.5736   0.00516   0.00131  -0.0516   0.3658   0.8933
   4.000   0.6779   0.00571   0.00172  -0.0497   0.2858   0.9790
   5.000   0.8065   0.00678   0.00233  -0.0539   0.1857   0.9980
   6.000   0.9111   0.00789   0.00304  -0.0529   0.1083   1.0000
   7.000   1.0088   0.00895   0.00384  -0.0503   0.0638   1.0000
   8.000   1.1094   0.01001   0.00474  -0.0486   0.0406   1.0000
   9.000   1.2095   0.01108   0.00574  -0.0468   0.0289   1.0000
  10.000   1.3071   0.01225   0.00686  -0.0448   0.0223   1.0000
  11.000   1.4004   0.01358   0.00819  -0.0423   0.0178   1.0000
  12.000   1.4881   0.01504   0.00968  -0.0390   0.0150   1.0000
  13.000   1.5643   0.01671   0.01142  -0.0339   0.0132   1.0000
  14.000   1.6217   0.01903   0.01385  -0.0264   0.0114   1.0000
  15.000   1.6775   0.02172   0.01668  -0.0202   0.0107   1.0000
  16.000   1.7174   0.02596   0.02107  -0.0142   0.0095   1.0000
  17.000   1.7454   0.03194   0.02727  -0.0097   0.0089   1.0000
  18.000   1.7624   0.03994   0.03552  -0.0074   0.0085   1.0000
  19.000   1.7588   0.05140   0.04726  -0.0076   0.0081   1.0000
  20.000   1.7283   0.06759   0.06378  -0.0111   0.0077   1.0000
