  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63A-415                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6252   0.01489   0.00974  -0.1013   0.9321   0.0202
  -9.000  -0.5186   0.01317   0.00781  -0.1025   0.9134   0.0227
  -8.000  -0.4279   0.01138   0.00574  -0.0998   0.8909   0.0259
  -7.000  -0.3328   0.01033   0.00453  -0.0972   0.8665   0.0311
  -6.000  -0.2452   0.00926   0.00341  -0.0927   0.8390   0.0508
  -5.000  -0.1566   0.00838   0.00262  -0.0882   0.8061   0.1041
  -4.000  -0.0755   0.00712   0.00189  -0.0825   0.7726   0.2784
  -3.000   0.0116   0.00632   0.00155  -0.0776   0.7425   0.4630
  -2.000   0.1106   0.00617   0.00145  -0.0748   0.7157   0.5325
  -1.000   0.2111   0.00616   0.00143  -0.0723   0.6886   0.5824
   0.000   0.3103   0.00623   0.00148  -0.0695   0.6611   0.6211
   1.000   0.4106   0.00636   0.00157  -0.0671   0.6347   0.6497
   2.000   0.5099   0.00648   0.00174  -0.0644   0.6090   0.6801
   3.000   0.6045   0.00672   0.00198  -0.0608   0.5771   0.7108
   4.000   0.6973   0.00697   0.00229  -0.0570   0.5416   0.7429
   5.000   0.7867   0.00737   0.00271  -0.0526   0.4977   0.7786
   6.000   0.9058   0.00809   0.00346  -0.0555   0.4300   0.8331
   7.000   1.0600   0.01103   0.00560  -0.0688   0.2037   1.0000
   8.000   1.1132   0.01339   0.00744  -0.0594   0.1034   1.0000
   9.000   1.1711   0.01580   0.00961  -0.0519   0.0545   1.0000
  10.000   1.2296   0.01845   0.01219  -0.0455   0.0322   1.0000
  11.000   1.2762   0.02212   0.01587  -0.0386   0.0191   1.0000
  12.000   1.3257   0.02596   0.01987  -0.0333   0.0164   1.0000
  13.000   1.3524   0.03198   0.02616  -0.0273   0.0140   1.0000
  14.000   1.3901   0.03768   0.03209  -0.0238   0.0127   1.0000
  15.000   1.4168   0.04497   0.03957  -0.0212   0.0113   1.0000
  16.000   1.3993   0.05776   0.05279  -0.0191   0.0100   1.0000
  17.000   1.4080   0.06870   0.06404  -0.0195   0.0097   1.0000
  18.000   1.4060   0.08176   0.07744  -0.0216   0.0092   1.0000
  19.000   1.3871   0.09811   0.09417  -0.0259   0.0087   1.0000
  20.000   1.3595   0.11677   0.11322  -0.0326   0.0082   1.0000
  21.000   1.3238   0.13803   0.13483  -0.0423   0.0077   1.0000
  22.000   1.2795   0.16206   0.15924  -0.0552   0.0074   1.0000
  23.000   1.2301   0.18894   0.18652  -0.0714   0.0071   1.0000
  24.000   1.1463   0.22930   0.22747  -0.0969   0.0068   1.0000
  25.000   1.0373   0.30876   0.30714  -0.1329   0.0068   1.0000
