Name = NACA 66-009
Mach = 0; Re = 1000000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.613	0.06866	0.006	0.829	0.002	0.993	0.007	-8.928	-0.288	0.259
-9.0	-0.615	0.06150	0.005	0.812	0.002	0.993	0.005	-9.993	0.325	0.258
-8.0	-0.599	0.05218	0.005	0.795	0.003	0.993	0.008	-11.481	0.261	0.258
-7.0	-0.565	0.04588	0.004	0.778	0.003	0.993	0.010	-12.305	0.255	0.258
-6.0	-0.513	0.03964	0.004	0.760	0.004	0.993	0.020	-12.947	-0.037	0.258
-5.0	-0.552	0.00806	0.008	0.741	0.004	0.993	0.987	-68.534	0.217	0.264
-4.0	-0.454	0.00757	0.006	0.724	0.007	0.992	0.988	-60.001	0.265	0.264
-3.0	-0.346	0.00710	0.005	0.711	0.010	0.993	0.990	-48.739	0.264	0.264
-2.0	-0.232	0.00719	0.003	0.700	0.017	0.993	0.991	-32.317	0.264	0.264
-1.0	-0.117	0.00416	0.002	0.691	0.675	0.993	0.992	-27.992	0.264	0.264
-0.0	0.000	0.00417	-0.000	0.683	0.683	0.993	0.993	0.000	0.264	0.250
1.0	0.117	0.00416	-0.002	0.675	0.691	0.992	0.993	27.992	0.264	0.264
2.0	0.232	0.00719	-0.003	0.017	0.700	0.991	0.993	32.317	0.264	0.264
3.0	0.346	0.00710	-0.005	0.010	0.711	0.990	0.993	48.739	0.264	0.264
4.0	0.454	0.00757	-0.006	0.007	0.724	0.988	0.992	60.001	0.265	0.264
5.0	0.552	0.00806	-0.008	0.004	0.741	0.987	0.993	68.534	0.217	0.264
6.0	0.513	0.03964	-0.004	0.004	0.760	0.020	0.993	12.947	-0.037	0.258
7.0	0.565	0.04588	-0.004	0.003	0.778	0.010	0.993	12.305	0.255	0.258
8.0	0.599	0.05218	-0.005	0.003	0.795	0.008	0.993	11.481	0.261	0.258
9.0	0.615	0.06150	-0.005	0.002	0.812	0.005	0.993	9.993	0.325	0.258
10.0	0.613	0.06866	-0.006	0.002	0.829	0.007	0.993	8.928	0.208	0.259
11.0	0.579	0.07841	-0.006	0.002	0.849	0.007	0.993	7.386	0.232	0.261
12.0	0.533	0.08893	-0.007	0.002	0.872	0.009	0.993	5.988	0.235	0.263
13.0	0.480	0.10274	-0.008	0.002	0.892	0.010	0.992	4.673	0.237	0.266
14.0	0.427	0.11802	-0.009	0.001	0.911	0.011	0.992	3.619	0.235	0.270
15.0	0.377	0.13265	-0.009	0.001	0.927	0.012	0.992	2.840	0.233	0.275
16.0	0.331	0.14006	-0.010	0.001	0.942	0.014	0.991	2.362	0.233	0.281
17.0	0.290	0.15518	-0.011	0.001	0.953	0.014	0.992	1.868	0.232	0.287
18.0	0.254	0.16974	-0.012	0.001	0.963	0.016	0.991	1.498	0.228	0.296
19.0	0.223	0.18119	-0.012	0.002	0.969	0.017	0.990	1.233	0.227	0.305
20.0	0.197	0.19783	-0.013	0.001	0.974	0.017	0.989	0.995	0.228	0.316


