  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 94-145                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.150     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5306   0.00985   0.00534  -0.1216   0.6350   0.0085
  -9.000  -0.4096   0.00896   0.00438  -0.1228   0.6300   0.0091
  -8.000  -0.2880   0.00828   0.00361  -0.1243   0.6205   0.0094
  -7.000  -0.1657   0.00745   0.00270  -0.1259   0.6161   0.0111
  -6.000  -0.0429   0.00688   0.00214  -0.1278   0.6130   0.0124
  -5.000   0.0801   0.00643   0.00166  -0.1297   0.6060   0.0157
  -4.000   0.2031   0.00609   0.00133  -0.1318   0.5972   0.0210
  -3.000   0.3265   0.00572   0.00107  -0.1341   0.5952   0.0355
  -2.000   0.4497   0.00549   0.00091  -0.1363   0.5893   0.0547
  -1.000   0.5723   0.00535   0.00084  -0.1387   0.5782   0.0822
   0.000   0.6960   0.00506   0.00081  -0.1413   0.5750   0.1732
   1.000   0.8207   0.00464   0.00088  -0.1446   0.5644   0.4148
   2.000   0.9450   0.00434   0.00103  -0.1478   0.5501   0.6406
   3.000   1.0673   0.00428   0.00131  -0.1505   0.5266   0.8359
   4.000   1.1845   0.00474   0.00167  -0.1520   0.4842   0.8792
   5.000   1.2980   0.00549   0.00221  -0.1530   0.4265   0.8997
   6.000   1.3930   0.00766   0.00366  -0.1512   0.2743   0.9166
   7.000   1.4801   0.00983   0.00527  -0.1480   0.1588   0.9331
   8.000   1.5628   0.01154   0.00677  -0.1438   0.1052   0.9582
   9.000   1.6156   0.01389   0.00899  -0.1351   0.0695   0.9998
  10.000   1.6724   0.01739   0.01244  -0.1296   0.0488   0.9998
  11.000   1.7214   0.02218   0.01722  -0.1248   0.0354   0.9998
  12.000   1.7622   0.02768   0.02274  -0.1197   0.0264   0.9998
  13.000   1.7942   0.03384   0.02895  -0.1142   0.0202   0.9998
  14.000   1.8207   0.04085   0.03603  -0.1090   0.0159   0.9998
  15.000   1.8536   0.04755   0.04283  -0.1047   0.0139   0.9998
  16.000   1.8753   0.05543   0.05079  -0.1004   0.0103   0.9998
  17.000   1.8902   0.06441   0.05988  -0.0966   0.0085   0.9998
  18.000   1.9044   0.07359   0.06921  -0.0934   0.0069   0.9998
  19.000   1.9152   0.08339   0.07916  -0.0910   0.0060   0.9998
  20.000   1.9077   0.09565   0.09160  -0.0894   0.0046   0.9998
  21.000   1.9085   0.10709   0.10323  -0.0890   0.0043   0.9998
  22.000   1.8913   0.12120   0.11756  -0.0903   0.0036   0.9998
  23.000   1.8675   0.13665   0.13324  -0.0937   0.0028   0.9998
  24.000   1.8473   0.15206   0.14890  -0.0992   0.0027   0.9998
  25.000   1.8245   0.16855   0.16564  -0.1072   0.0025   0.9998
