  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3222   0.00704   0.00197  -0.0521   0.7518   0.0901
  -4.000  -0.2098   0.00670   0.00161  -0.0519   0.6980   0.1220
  -3.000  -0.0969   0.00643   0.00134  -0.0519   0.6421   0.1659
  -2.000   0.0163   0.00624   0.00117  -0.0520   0.5873   0.2205
  -1.000   0.1296   0.00609   0.00109  -0.0521   0.5364   0.2907
   0.000   0.2430   0.00596   0.00107  -0.0522   0.4914   0.3782
   1.000   0.3555   0.00576   0.00113  -0.0522   0.4524   0.5098
   2.000   0.4683   0.00571   0.00127  -0.0523   0.4150   0.6299
   3.000   0.5801   0.00576   0.00149  -0.0521   0.3740   0.7433
   4.000   0.6888   0.00600   0.00183  -0.0513   0.3221   0.8533
   5.000   0.7927   0.00653   0.00232  -0.0494   0.2637   0.9382
   6.000   0.8979   0.00733   0.00291  -0.0480   0.2051   0.9856
   7.000   1.0240   0.00846   0.00371  -0.0518   0.1451   0.9970
   8.000   1.1302   0.00960   0.00458  -0.0514   0.1013   1.0000
   9.000   1.2145   0.01070   0.00550  -0.0463   0.0737   1.0000
  10.000   1.3049   0.01185   0.00655  -0.0429   0.0563   1.0000
  11.000   1.3902   0.01314   0.00776  -0.0387   0.0442   1.0000
  12.000   1.4620   0.01465   0.00925  -0.0325   0.0358   1.0000
  13.000   1.5316   0.01646   0.01108  -0.0268   0.0307   1.0000
  14.000   1.5940   0.01884   0.01351  -0.0211   0.0265   1.0000
  15.000   1.6476   0.02205   0.01680  -0.0156   0.0234   1.0000
  16.000   1.6920   0.02635   0.02120  -0.0108   0.0210   1.0000
  17.000   1.7273   0.03195   0.02695  -0.0072   0.0193   1.0000
  18.000   1.7426   0.04016   0.03535  -0.0047   0.0175   1.0000
  19.000   1.7526   0.04986   0.04528  -0.0042   0.0167   1.0000
  20.000   1.7398   0.06291   0.05858  -0.0055   0.0157   1.0000
