  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7929   0.00650   0.00231   0.0494   0.9386   0.2647
  -4.000  -0.6889   0.00600   0.00183   0.0513   0.8530   0.3223
  -3.000  -0.5802   0.00576   0.00149   0.0521   0.7427   0.3741
  -2.000  -0.4686   0.00569   0.00126   0.0523   0.6296   0.4169
  -1.000  -0.3558   0.00575   0.00112   0.0523   0.5096   0.4535
   0.000  -0.2432   0.00595   0.00107   0.0522   0.3773   0.4920
   1.000  -0.1296   0.00610   0.00109   0.0521   0.2907   0.5353
   2.000  -0.0163   0.00623   0.00117   0.0520   0.2223   0.5873
   3.000   0.0968   0.00643   0.00135   0.0519   0.1651   0.6420
   4.000   0.2097   0.00670   0.00161   0.0520   0.1219   0.6977
   5.000   0.3222   0.00705   0.00197   0.0521   0.0899   0.7512
   6.000   0.4341   0.00747   0.00243   0.0523   0.0681   0.8014
   7.000   0.5456   0.00799   0.00299   0.0525   0.0532   0.8439
   8.000   0.6560   0.00858   0.00363   0.0530   0.0434   0.8815
   9.000   0.7643   0.00933   0.00443   0.0537   0.0356   0.9142
  10.000   0.8703   0.01014   0.00531   0.0549   0.0309   0.9442
  11.000   0.9721   0.01112   0.00633   0.0567   0.0270   0.9675
  12.000   1.0747   0.01225   0.00749   0.0580   0.0240   0.9849
  13.000   1.1876   0.01355   0.00883   0.0567   0.0220   0.9936
  14.000   1.3057   0.01522   0.01055   0.0536   0.0199   0.9966
  15.000   1.4159   0.01710   0.01249   0.0516   0.0181   1.0000
  16.000   1.4526   0.01890   0.01441   0.0635   0.0172   1.0000
  17.000   1.5009   0.02146   0.01712   0.0706   0.0164   1.0000
  18.000   1.5379   0.02602   0.02185   0.0745   0.0156   1.0000
  19.000   1.5436   0.03542   0.03156   0.0734   0.0147   1.0000
  20.000   1.5192   0.05104   0.04755   0.0655   0.0145   1.0000
