  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.5472   0.00578   0.00141   0.0427   0.6910   0.3616
  -2.000  -0.4437   0.00567   0.00120   0.0447   0.5950   0.4052
  -1.000  -0.3386   0.00568   0.00106   0.0465   0.4936   0.4462
   0.000  -0.2359   0.00580   0.00100   0.0486   0.3699   0.4941
   1.000  -0.1292   0.00596   0.00102   0.0501   0.2916   0.5312
   2.000  -0.0235   0.00602   0.00109   0.0518   0.2335   0.5871
   3.000   0.0809   0.00621   0.00124   0.0537   0.1742   0.6465
   4.000   0.1868   0.00643   0.00148   0.0554   0.1365   0.6986
   5.000   0.2908   0.00676   0.00180   0.0574   0.0995   0.7534
   6.000   0.3955   0.00709   0.00220   0.0593   0.0799   0.8038
   7.000   0.4990   0.00758   0.00271   0.0614   0.0606   0.8489
   8.000   0.6027   0.00817   0.00331   0.0633   0.0468   0.8850
   9.000   0.7055   0.00880   0.00401   0.0653   0.0382   0.9203
  10.000   0.8077   0.00973   0.00495   0.0672   0.0291   0.9490
  11.000   0.9183   0.01062   0.00593   0.0672   0.0275   0.9738
  12.000   1.0383   0.01154   0.00687   0.0648   0.0263   0.9853
  13.000   1.1542   0.01331   0.00862   0.0625   0.0192   0.9908
  14.000   1.2724   0.01487   0.01027   0.0595   0.0183   0.9946
  15.000   1.3873   0.01624   0.01166   0.0570   0.0175   0.9981
  16.000   1.4433   0.01806   0.01364   0.0651   0.0179   1.0000
  17.000   1.4752   0.01997   0.01564   0.0761   0.0168   1.0000
  18.000   1.4548   0.02748   0.02344   0.0844   0.0115   1.0000
  19.000   1.4051   0.04310   0.03964   0.0800   0.0117   1.0000
  20.000   1.4147   0.05404   0.05067   0.0748   0.0115   1.0000
